customer_id,birth_date,join_date,plan_type,churn_in_3mos
10063,1997-11-26,2016-01-24,prepaid,0
10064,1988-04-23,2017-12-26,prepaid,1
10065,1984-02-26,2017-09-25,pay-as-you-go,0
10066,1993-01-02,2012-12-12,prepaid,1
10067,1973-07-01,2012-09-24,prepaid,1
10068,1973-01-21,2019-12-28,prepaid,0
10069,1993-05-19,2012-03-25,prepaid,0
10070,2001-08-17,2013-09-27,postpaid,0
10071,1968-06-29,2018-12-09,postpaid,1
10072,1992-03-11,2018-07-03,postpaid,0
10073,1990-02-13,2016-08-02,postpaid,0
10074,1982-11-20,2016-12-25,prepaid,1
10075,1994-04-07,2019-02-13,prepaid,0
10076,1972-03-20,2012-05-07,pay-as-you-go,0
10077,1975-03-17,2012-10-30,prepaid,0
10078,2001-05-17,2018-08-03,prepaid,0
10079,1969-04-17,2013-02-24,postpaid,0
10080,1975-02-10,2018-06-10,postpaid,0
10081,1991-03-24,2018-04-13,prepaid,0
10082,1962-07-24,2013-07-13,prepaid,1
10083,1997-02-12,2016-12-31,prepaid,1
10084,1995-12-18,2014-03-06,postpaid,0
10085,1995-04-27,2014-09-30,prepaid,0
10086,1965-09-03,2012-01-23,prepaid,1
10087,1968-10-31,2012-12-18,prepaid,0
10088,1993-11-26,2019-04-08,prepaid,1
10089,1995-02-28,2017-09-05,pay-as-you-go,1
10090,1993-09-12,2014-10-21,prepaid,1
10091,2004-07-21,2020-07-27,prepaid,0
10092,2005-09-26,2013-01-25,prepaid,1
10093,1974-11-18,2014-01-04,prepaid,1
10094,1997-10-16,2015-10-29,prepaid,0
10095,1974-07-06,2012-07-14,prepaid,0
10096,1979-09-06,2017-06-17,prepaid,1
10097,1986-10-27,2020-02-04,prepaid,0
10098,1980-01-21,2013-05-31,pay-as-you-go,1
10099,1966-04-18,2018-11-23,prepaid,0
10100,1974-10-28,2014-01-12,prepaid,1
10101,1974-12-18,2018-11-14,prepaid,0
10102,1970-12-21,2017-06-20,prepaid,0
10103,1986-01-09,2015-01-01,prepaid,0
10104,2003-06-30,2013-03-19,prepaid,1
10105,2005-02-25,2018-11-18,prepaid,1
10106,1974-04-09,2020-02-22,prepaid,0
10107,1969-11-12,2016-02-28,prepaid,0
10108,1990-09-18,2012-05-13,prepaid,0
10109,1961-06-02,2019-03-06,postpaid,0
10110,1995-08-27,2016-11-03,prepaid,0
10111,1999-12-21,2017-10-20,pay-as-you-go,1
10112,1996-08-20,2014-06-13,postpaid,1
10113,2008-09-27,2019-04-20,prepaid,0
10114,1969-01-17,2016-02-16,postpaid,0
10115,1963-05-08,2013-02-01,postpaid,0
10116,1961-02-20,2019-05-16,prepaid,0
10117,2001-09-20,2018-10-09,pay-as-you-go,0
10118,1967-07-14,2020-07-09,prepaid,0
10119,1974-10-24,2019-11-09,prepaid,0
10120,2005-08-18,2019-02-17,prepaid,0
10121,1977-11-27,2017-02-08,pay-as-you-go,0
10122,1974-11-19,2017-09-13,prepaid,0
10123,1990-04-26,2017-04-23,postpaid,1
10124,2002-02-24,2020-04-11,postpaid,0
10125,2005-05-29,2015-04-07,pay-as-you-go,0
10126,2009-01-24,2019-09-12,prepaid,1
10127,1995-11-28,2015-08-18,prepaid,0
10128,1991-10-13,2018-05-08,prepaid,1
10129,1971-05-21,2014-12-28,prepaid,0
10130,1978-03-03,2013-12-27,postpaid,0
10131,1961-11-28,2019-07-08,prepaid,0
10132,1983-01-24,2019-09-14,postpaid,1
10133,1976-05-25,2015-01-09,prepaid,1
10134,1986-04-23,2019-03-19,prepaid,0
10135,1979-06-06,2016-05-21,postpaid,1
10136,1980-02-04,2020-06-12,prepaid,0
10137,1996-09-26,2016-04-13,prepaid,0
10138,1982-04-21,2019-05-31,postpaid,0
10139,1983-03-27,2017-05-29,prepaid,0
10140,1991-06-16,2020-01-28,pay-as-you-go,1
10141,1975-04-19,2020-04-03,prepaid,0
10142,2004-09-16,2013-04-11,prepaid,1
10143,1998-02-26,2013-06-07,prepaid,0
10144,1970-08-27,2014-03-10,prepaid,1
10145,1966-11-13,2016-06-16,prepaid,0
10146,1991-10-20,2012-05-15,prepaid,0
10147,1990-04-30,2016-09-30,postpaid,0
10148,1976-04-13,2013-06-09,prepaid,0
10149,2007-04-24,2019-07-28,prepaid,0
10150,1968-06-29,2015-10-20,prepaid,0
10151,1982-06-13,2016-01-31,postpaid,0
10152,1985-01-13,2018-09-05,prepaid,0
10153,2001-11-29,2018-01-19,prepaid,0
10154,1992-07-17,2012-04-24,prepaid,1
10155,2007-05-25,2017-05-28,postpaid,1
10156,1975-04-11,2015-05-30,prepaid,0
10157,1969-12-28,2017-07-03,prepaid,0
10158,1993-01-21,2018-09-07,prepaid,1
10159,1988-05-24,2012-12-06,prepaid,0
10160,2004-12-23,2014-05-12,prepaid,0
10161,1998-04-19,2015-08-17,prepaid,0
10162,2006-12-09,2014-01-26,prepaid,0
10163,1973-08-12,2013-09-14,postpaid,0
10164,1973-03-30,2014-12-26,pay-as-you-go,1
10165,1995-07-02,2015-08-26,postpaid,1
10166,1994-04-27,2012-06-25,postpaid,1
10167,2007-12-29,2017-04-30,pay-as-you-go,0
10168,1998-12-16,2016-04-25,postpaid,0
10169,2005-08-01,2018-07-27,prepaid,0
10170,2009-03-09,2015-05-26,prepaid,0
10171,1998-09-13,2019-04-10,postpaid,0
10172,1991-02-09,2012-10-15,pay-as-you-go,0
10173,1992-07-20,2019-08-08,prepaid,1
10174,1978-05-08,2016-11-02,prepaid,0
10175,1990-06-03,2017-11-18,prepaid,0
10176,1997-08-30,2015-12-20,postpaid,0
10177,1985-01-19,2013-05-09,prepaid,0
10178,2002-09-01,2018-07-01,prepaid,0
10179,1971-08-26,2014-05-23,prepaid,1
10180,1965-09-17,2019-04-13,postpaid,0
10181,2007-06-15,2013-02-07,prepaid,0
10182,1973-08-06,2015-05-11,prepaid,0
10183,1993-07-08,2019-06-08,prepaid,0
10184,1961-12-06,2015-03-06,prepaid,0
10185,1960-07-08,2013-05-10,prepaid,0
10186,1968-01-08,2016-03-01,postpaid,0
10187,1965-11-24,2020-02-25,prepaid,1
10188,1963-07-16,2012-12-16,prepaid,0
10189,2008-09-11,2015-09-04,prepaid,0
10190,1989-10-18,2019-10-04,prepaid,0
10191,1993-07-21,2018-07-26,pay-as-you-go,1
10192,1985-02-17,2014-12-14,prepaid,0
10193,1976-10-07,2019-02-22,prepaid,0
10194,2006-04-01,2017-05-17,prepaid,1
10195,1986-02-10,2020-03-14,postpaid,1
10196,1998-11-28,2013-08-09,prepaid,1
10197,1999-08-25,2017-11-17,prepaid,0
10198,1997-02-26,2012-09-12,prepaid,1
10199,1970-10-02,2014-05-09,prepaid,0
10200,1961-01-16,2015-04-18,prepaid,1
10201,1974-08-21,2017-09-28,postpaid,1
10202,1960-09-03,2014-09-27,postpaid,0
10203,1977-05-26,2020-05-28,prepaid,0
10204,1994-04-18,2012-03-05,prepaid,0
10205,1995-08-05,2019-08-08,prepaid,0
10206,2009-03-23,2017-10-15,postpaid,0
10207,1978-06-28,2018-08-04,prepaid,1
10208,1996-08-12,2019-03-20,prepaid,0
10209,2001-03-07,2017-12-14,prepaid,0
10210,2006-06-23,2012-07-14,postpaid,1
10211,1975-05-30,2017-06-01,prepaid,1
10212,1979-04-21,2015-07-26,prepaid,0
10213,1982-08-01,2016-10-12,prepaid,0
10214,1962-09-17,2019-08-04,prepaid,1
10215,1967-12-12,2017-04-02,prepaid,0
10216,1971-08-30,2015-03-26,prepaid,0
10217,2003-05-29,2020-04-29,prepaid,0
10218,2008-12-29,2014-05-11,postpaid,0
10219,1969-10-11,2018-12-03,prepaid,0
10220,1994-06-04,2014-01-03,postpaid,0
10221,1966-09-11,2020-02-26,prepaid,0
10222,1987-08-03,2017-01-17,postpaid,0
10223,2006-01-06,2016-03-16,prepaid,0
10224,2005-02-12,2012-04-14,prepaid,0
10225,1971-06-09,2015-07-21,prepaid,0
10226,1969-02-14,2014-08-25,prepaid,0
10227,1962-11-28,2012-07-23,prepaid,1
10228,1960-05-23,2012-01-12,prepaid,1
10229,2003-11-22,2019-05-22,postpaid,0
10230,2007-08-31,2015-06-09,prepaid,1
10231,1986-08-18,2013-07-10,prepaid,0
10232,1967-03-18,2012-12-04,postpaid,1
10233,1979-04-20,2015-02-05,pay-as-you-go,0
10234,1963-11-21,2013-07-09,postpaid,0
10235,1965-12-29,2019-05-02,prepaid,0
10236,1997-12-03,2014-03-20,prepaid,0
10237,1977-04-24,2018-06-26,prepaid,0
10238,1978-03-22,2018-09-29,prepaid,0
10239,1981-07-08,2014-02-27,prepaid,0
10240,1983-07-03,2018-09-14,prepaid,0
10241,1968-02-29,2020-07-27,prepaid,0
10242,1969-05-29,2014-01-13,prepaid,1
10243,1975-04-22,2014-04-05,postpaid,0
10244,1990-03-24,2014-02-27,prepaid,1
10245,1984-09-28,2015-02-19,postpaid,1
10246,1966-01-01,2014-06-04,prepaid,0
10247,1970-01-01,2020-05-08,prepaid,1
10248,1975-11-01,2020-01-27,prepaid,0
10249,1984-01-22,2017-10-29,prepaid,0
10250,1999-08-03,2013-10-15,prepaid,0
10251,1974-10-27,2018-11-27,postpaid,1
10252,1983-06-11,2019-10-26,prepaid,0
10253,1960-09-23,2017-06-28,prepaid,1
10254,1988-07-18,2018-10-20,pay-as-you-go,0
10255,1961-05-10,2015-07-29,prepaid,0
10256,1974-09-03,2012-09-23,prepaid,0
10257,1962-12-01,2016-05-23,prepaid,1
10258,2001-12-26,2015-10-09,prepaid,1
10259,1980-05-03,2016-01-09,prepaid,0
10260,1988-07-31,2014-06-14,prepaid,1
10261,1966-04-05,2013-12-30,prepaid,1
10262,1974-09-29,2019-01-03,pay-as-you-go,1
10263,1967-09-14,2014-05-31,prepaid,0
10264,2000-02-16,2014-10-18,prepaid,0
10265,1962-07-13,2014-12-08,prepaid,0
10266,1962-02-07,2012-12-09,prepaid,0
10267,2001-08-11,2015-12-10,postpaid,0
10268,2000-02-22,2018-04-12,prepaid,0
10269,2006-10-06,2015-07-11,prepaid,0
10270,1989-11-04,2017-10-07,pay-as-you-go,0
10271,2002-08-08,2018-12-11,pay-as-you-go,1
10272,1986-07-19,2017-10-16,prepaid,0
10273,1976-09-07,2014-12-31,prepaid,0
10274,1974-12-15,2016-07-31,prepaid,1
10275,1979-02-07,2014-10-25,prepaid,0
10276,2004-03-25,2012-09-25,pay-as-you-go,0
10277,1977-09-03,2015-07-04,prepaid,1
10278,1987-09-15,2015-01-19,pay-as-you-go,1
10279,1976-11-20,2015-02-10,prepaid,0
10280,1967-02-10,2012-12-16,postpaid,1
10281,1961-07-22,2014-10-17,prepaid,1
10282,1978-11-10,2020-07-15,prepaid,1
10283,1964-08-26,2017-02-14,prepaid,0
10284,1977-05-24,2012-09-12,prepaid,1
10285,1996-03-20,2016-05-05,prepaid,0
10286,1993-05-06,2015-09-09,prepaid,1
10287,1991-12-18,2012-07-31,pay-as-you-go,0
10288,1987-08-11,2015-03-02,prepaid,0
10289,1990-10-04,2015-05-15,prepaid,0
10290,2003-08-22,2018-10-02,prepaid,0
10291,1977-03-12,2016-10-07,prepaid,1
10292,1981-05-23,2018-12-08,prepaid,0
10293,1999-09-26,2013-01-20,prepaid,0
10294,1987-10-30,2015-05-16,prepaid,0
10295,2009-02-14,2013-03-21,prepaid,1
10296,1961-06-28,2012-04-23,postpaid,0
10297,2000-10-12,2016-03-29,prepaid,1
10298,1985-09-18,2013-11-17,prepaid,0
10299,1962-05-26,2013-10-27,pay-as-you-go,0
10300,1989-07-12,2019-05-23,prepaid,0
10301,1999-05-25,2016-11-29,postpaid,0
10302,1967-12-04,2013-06-02,prepaid,0
10303,2001-05-19,2014-01-20,prepaid,0
10304,1981-05-01,2014-09-29,prepaid,0
10305,1963-01-01,2020-02-07,prepaid,0
10306,1982-06-10,2016-10-10,prepaid,0
10307,2000-02-22,2017-11-06,prepaid,0
10308,1987-10-18,2013-04-27,prepaid,1
10309,1976-03-05,2016-03-30,prepaid,0
10310,1973-09-08,2015-04-10,prepaid,0
10311,1963-08-20,2018-10-18,prepaid,0
10312,2001-11-05,2015-03-18,postpaid,0
10313,1990-10-16,2015-03-02,prepaid,1
10314,1988-02-20,2016-04-01,prepaid,1
10315,2008-02-20,2016-08-23,prepaid,0
10316,1977-10-17,2020-03-31,prepaid,0
10317,1971-11-26,2012-01-30,prepaid,0
10318,1977-08-10,2016-12-16,prepaid,0
10319,1973-11-17,2014-12-16,postpaid,1
10320,1987-05-25,2014-10-12,prepaid,1
10321,1981-04-17,2013-07-31,prepaid,1
10322,2000-10-17,2014-12-15,prepaid,1
10323,1994-01-16,2012-06-21,prepaid,1
10324,1967-11-10,2013-06-23,prepaid,0
10325,1967-02-12,2015-04-10,prepaid,0
10326,1980-09-06,2017-08-02,prepaid,0
10327,1989-07-04,2016-01-31,prepaid,0
10328,1975-04-08,2018-01-16,prepaid,0
10329,1980-10-28,2013-10-19,pay-as-you-go,1
10330,1988-12-25,2020-04-16,prepaid,1
10331,1983-10-19,2019-04-09,postpaid,0
10332,1977-04-18,2018-11-14,pay-as-you-go,1
10333,2003-03-31,2018-03-08,prepaid,0
10334,1975-02-02,2015-06-16,prepaid,0
10335,2007-04-05,2018-02-19,prepaid,0
10336,1966-05-01,2018-09-07,prepaid,0
10337,1992-02-16,2017-02-09,prepaid,0
10338,1980-12-14,2015-12-19,prepaid,1
10339,1974-06-08,2018-12-17,prepaid,0
10340,1996-05-14,2018-04-16,prepaid,0
10341,1975-11-15,2018-09-30,prepaid,0
10342,1981-06-05,2013-12-16,prepaid,0
10343,1982-04-04,2020-04-12,prepaid,0
10344,1965-06-29,2017-10-22,prepaid,0
10345,1965-11-23,2020-07-07,postpaid,0
10346,1964-09-02,2017-07-18,postpaid,1
10347,1996-01-27,2019-02-13,prepaid,0
10348,2007-10-01,2017-07-12,prepaid,0
10349,1967-07-19,2014-09-04,pay-as-you-go,1
10350,1965-11-09,2018-01-24,postpaid,0
10351,1999-07-03,2012-04-23,prepaid,0
10352,2000-12-14,2017-03-23,prepaid,0
10353,2005-02-26,2019-10-05,postpaid,1
10354,1997-12-27,2016-05-27,prepaid,1
10355,1993-05-19,2020-06-28,prepaid,0
10356,1971-06-02,2015-03-01,prepaid,0
10357,1980-11-22,2019-03-30,prepaid,0
10358,2001-07-15,2012-09-23,postpaid,0
10359,1974-07-08,2017-08-28,pay-as-you-go,0
10360,1987-08-16,2014-02-04,postpaid,0
10361,1992-12-11,2019-01-19,prepaid,1
10362,1973-04-04,2012-07-11,prepaid,1
10363,1990-03-25,2013-08-09,prepaid,0
10364,2004-10-05,2019-09-09,postpaid,0
10365,1987-09-17,2019-06-24,prepaid,0
10366,2003-01-08,2015-04-27,prepaid,1
10367,1997-07-03,2013-12-09,postpaid,1
10368,1985-10-15,2012-06-23,prepaid,1
10369,1997-08-28,2019-05-15,prepaid,0
10370,2001-10-17,2017-09-06,postpaid,0
10371,1985-10-19,2012-12-04,prepaid,1
10372,1970-04-26,2015-07-12,prepaid,1
10373,1992-02-06,2015-09-10,prepaid,0
10374,1963-10-25,2017-11-23,postpaid,0
10375,1966-07-17,2015-04-01,prepaid,1
10376,1973-07-22,2019-04-11,prepaid,0
10377,1981-05-15,2012-08-20,prepaid,0
10378,1970-01-19,2013-08-30,prepaid,0
10379,1969-10-14,2013-04-23,prepaid,1
10380,1973-03-05,2014-06-12,prepaid,0
10381,2001-06-13,2020-01-08,postpaid,1
10382,1970-03-11,2018-10-24,postpaid,0
10383,1961-01-24,2020-04-22,prepaid,1
10384,1999-08-30,2015-05-21,prepaid,0
10385,2003-11-05,2013-07-29,prepaid,0
10386,2003-09-18,2017-01-05,prepaid,0
10387,1970-02-28,2015-08-25,prepaid,0
10388,1978-04-25,2014-08-25,pay-as-you-go,0
10389,1990-06-22,2017-04-15,pay-as-you-go,1
10390,1960-05-23,2012-11-23,postpaid,0
10391,1987-11-21,2019-05-25,prepaid,0
10392,1961-02-27,2013-05-02,prepaid,0
10393,2005-06-20,2018-04-22,prepaid,1
10394,1995-07-31,2019-01-22,postpaid,1
10395,2008-06-13,2015-04-29,prepaid,0
10396,2002-03-11,2012-11-18,pay-as-you-go,0
10397,2006-01-31,2019-06-26,prepaid,0
10398,2004-03-29,2013-09-18,prepaid,0
10399,1975-02-19,2012-12-06,pay-as-you-go,0
10400,1982-05-25,2016-11-05,prepaid,0
10401,1974-03-10,2013-02-09,postpaid,1
10402,1990-06-09,2019-03-26,postpaid,0
10403,1975-05-23,2013-08-04,postpaid,0
10404,1998-07-10,2015-10-04,prepaid,0
10405,1961-06-12,2013-01-03,prepaid,0
10406,1973-12-08,2017-02-15,prepaid,0
10407,2008-01-01,2019-09-20,prepaid,1
10408,1967-06-13,2012-08-27,pay-as-you-go,0
10409,1997-06-27,2017-07-04,prepaid,0
10410,1995-10-17,2014-12-19,prepaid,0
10411,1966-11-13,2012-11-18,prepaid,0
10412,1996-11-05,2014-07-07,prepaid,0
10413,1961-03-25,2018-12-28,postpaid,0
10414,2001-03-23,2020-05-27,prepaid,1
10415,1980-10-04,2016-07-26,prepaid,0
10416,1998-08-19,2014-11-11,prepaid,1
10417,2005-03-14,2012-03-17,postpaid,0
10418,1996-07-06,2013-05-21,prepaid,1
10419,1976-03-22,2015-12-02,prepaid,1
10420,1999-11-18,2020-04-19,pay-as-you-go,1
10421,1973-11-10,2014-10-14,prepaid,0
10422,1962-12-06,2016-04-17,postpaid,0
10423,1972-06-22,2019-11-23,prepaid,0
10424,2005-12-29,2015-08-27,prepaid,0
10425,2002-08-14,2016-11-10,pay-as-you-go,0
10426,2004-06-15,2013-05-17,prepaid,0
10427,2003-05-14,2018-10-05,prepaid,0
10428,1995-11-29,2018-10-23,postpaid,0
10429,1966-03-08,2015-03-18,prepaid,1
10430,1985-12-25,2017-06-11,prepaid,0
10431,1993-07-20,2016-07-14,prepaid,1
10432,1966-02-11,2016-10-14,prepaid,1
10433,1978-01-07,2014-04-29,prepaid,0
10434,1976-06-28,2020-04-28,prepaid,0
10435,1975-05-29,2013-01-10,postpaid,0
10436,1985-08-10,2020-03-23,prepaid,1
10437,2004-07-09,2017-07-22,prepaid,0
10438,1986-04-21,2017-09-26,prepaid,1
10439,2009-03-30,2018-04-06,prepaid,0
10440,1973-11-14,2019-02-07,prepaid,0
10441,1985-11-17,2013-01-17,postpaid,0
10442,1966-04-03,2012-01-14,prepaid,0
10443,1984-11-21,2012-04-28,prepaid,0
10444,1995-07-08,2012-08-15,prepaid,0
10445,1993-03-05,2016-03-15,postpaid,0
10446,1979-02-25,2015-01-24,prepaid,1
10447,2000-07-17,2020-06-11,pay-as-you-go,0
10448,1972-04-28,2015-09-18,prepaid,1
10449,1982-08-27,2018-06-11,prepaid,0
10450,1980-09-12,2012-01-23,prepaid,0
10451,1963-08-04,2012-04-01,prepaid,0
10452,1986-07-08,2016-06-19,prepaid,0
10453,1992-02-10,2014-12-22,prepaid,0
10454,1986-01-01,2015-02-13,prepaid,1
10455,1978-12-23,2014-12-26,prepaid,0
10456,2006-04-10,2014-04-21,prepaid,0
10457,1987-06-02,2017-07-25,prepaid,1
10458,1997-07-06,2012-02-06,prepaid,1
10459,1972-07-09,2018-03-04,prepaid,0
10460,1967-09-09,2015-01-27,prepaid,1
10461,1965-02-22,2018-09-25,prepaid,0
10462,1979-04-13,2019-10-21,prepaid,0
10463,1976-09-03,2012-05-27,prepaid,0
10464,1977-03-16,2014-12-31,pay-as-you-go,0
10465,1986-07-25,2012-10-25,prepaid,1
10466,1962-07-20,2014-08-12,prepaid,1
10467,1989-06-18,2012-04-15,postpaid,1
10468,1979-03-13,2016-02-22,pay-as-you-go,0
10469,1970-09-21,2015-08-07,postpaid,0
10470,1984-01-04,2016-01-27,postpaid,0
10471,2005-10-02,2013-02-11,prepaid,0
10472,1991-01-05,2015-09-27,postpaid,0
10473,2003-11-17,2020-01-25,prepaid,1
10474,1998-06-17,2012-12-20,prepaid,0
10475,1967-10-05,2018-12-17,prepaid,1
10476,1975-01-03,2019-06-28,prepaid,0
10477,1962-12-09,2012-10-30,postpaid,0
10478,1975-12-15,2015-06-07,prepaid,0
10479,1983-02-26,2016-04-30,postpaid,0
10480,1960-11-03,2017-07-22,pay-as-you-go,0
10481,1985-08-02,2015-05-17,postpaid,0
10482,1991-04-05,2017-02-13,prepaid,0
10483,2000-10-31,2014-06-04,pay-as-you-go,0
10484,1989-06-28,2012-04-27,postpaid,0
10485,1984-07-11,2017-04-11,prepaid,0
10486,2004-05-16,2014-06-26,prepaid,1
10487,1960-05-15,2019-04-04,postpaid,0
10488,2009-03-31,2018-01-08,prepaid,0
10489,2000-07-14,2015-08-05,prepaid,1
10490,1968-09-24,2014-06-28,prepaid,0
10491,1964-07-05,2013-05-27,prepaid,1
10492,1987-10-31,2019-02-12,prepaid,0
10493,2007-05-12,2013-06-08,prepaid,0
10494,1990-10-08,2020-03-30,prepaid,0
10495,1963-04-04,2020-04-30,prepaid,1
10496,1974-10-10,2013-05-29,postpaid,0
10497,1973-02-18,2015-06-14,prepaid,0
10498,1978-04-08,2019-10-27,prepaid,1
10499,1994-02-04,2014-10-25,prepaid,0
10500,1991-02-09,2014-09-08,prepaid,0
10501,1972-03-13,2013-06-28,prepaid,0
10502,1971-10-12,2018-01-25,prepaid,0
10503,1984-07-06,2016-06-10,prepaid,0
10504,2009-01-06,2014-05-02,prepaid,0
10505,1966-11-24,2015-07-05,prepaid,0
10506,1962-04-21,2017-08-31,prepaid,0
10507,1966-03-05,2020-01-24,prepaid,0
10508,1988-08-04,2013-06-24,prepaid,0
10509,1992-02-10,2016-08-20,prepaid,0
10510,2005-07-14,2019-12-17,prepaid,0
10511,2009-04-15,2013-04-24,prepaid,0
10512,1976-01-07,2015-04-04,prepaid,0
10513,1978-04-30,2019-01-07,prepaid,0
10514,1991-07-31,2016-02-12,prepaid,0
10515,1976-10-30,2018-06-09,postpaid,0
10516,1992-02-22,2014-07-03,prepaid,0
10517,1990-02-17,2012-12-11,prepaid,0
10518,1994-08-26,2013-11-10,prepaid,1
10519,1962-04-03,2020-01-06,prepaid,0
10520,1970-08-20,2014-01-15,pay-as-you-go,0
10521,1965-08-03,2013-04-12,postpaid,0
10522,1967-12-12,2017-08-12,prepaid,1
10523,2006-01-24,2020-01-18,postpaid,0
10524,1984-10-16,2012-05-21,prepaid,0
10525,1994-02-10,2015-03-13,prepaid,1
10526,1993-09-28,2016-06-07,prepaid,1
10527,1995-01-10,2018-06-16,prepaid,1
10528,1980-08-22,2016-07-19,prepaid,1
10529,1989-03-23,2015-02-26,prepaid,1
10530,1986-07-06,2013-10-02,prepaid,0
10531,1980-01-07,2016-06-19,prepaid,0
10532,1971-09-06,2017-08-27,postpaid,0
10533,1982-09-06,2018-01-14,prepaid,0
10534,2002-06-20,2017-05-10,postpaid,0
10535,1979-10-16,2017-03-13,pay-as-you-go,0
10536,1992-04-07,2019-08-04,pay-as-you-go,1
10537,1981-02-04,2017-07-27,prepaid,0
10538,1960-10-21,2015-11-29,postpaid,1
10539,2003-11-24,2015-10-10,prepaid,0
10540,1974-05-12,2014-02-17,prepaid,0
10541,1980-05-18,2016-07-31,prepaid,0
10542,1967-12-12,2018-06-24,prepaid,0
10543,2006-11-21,2017-01-05,postpaid,0
10544,1975-08-10,2014-03-24,postpaid,1
10545,2002-04-26,2013-08-16,prepaid,0
10546,1974-09-06,2020-05-27,prepaid,0
10547,2004-10-20,2019-04-17,postpaid,0
10548,1970-12-20,2013-07-30,prepaid,0
10549,1983-09-17,2012-04-08,prepaid,1
10550,1994-08-16,2019-11-15,postpaid,0
10551,1986-08-27,2012-02-13,postpaid,1
10552,1960-10-28,2014-03-09,pay-as-you-go,0
10553,1980-06-09,2018-06-13,prepaid,0
10554,1982-08-14,2017-02-05,prepaid,0
10555,1978-10-11,2018-04-09,prepaid,1
10556,1992-02-09,2017-06-23,prepaid,0
10557,1971-08-03,2019-01-19,prepaid,1
10558,1989-03-15,2020-03-20,prepaid,1
10559,2004-10-07,2016-03-19,prepaid,0
10560,1988-01-07,2013-02-25,prepaid,0
10561,1981-06-30,2019-09-09,postpaid,0
10562,1994-09-26,2017-03-28,prepaid,0
10563,2002-02-14,2016-09-08,prepaid,0
10564,2006-02-06,2020-06-24,prepaid,1
10565,1993-07-11,2013-05-12,pay-as-you-go,1
10566,1964-06-19,2013-06-15,prepaid,0
10567,1977-06-28,2017-02-02,prepaid,0
10568,1961-10-05,2020-05-08,prepaid,0
10569,1986-01-20,2012-04-14,postpaid,0
10570,1962-05-13,2020-07-22,prepaid,0
10571,1978-09-21,2015-10-24,prepaid,0
